,page_url,bedrooms,baths,garage,date,price,location,property,area_marla,area_sqft
110,https://www.graana.com/property/islamabad-murree-expressway-2240-sqft-apartment-for-rent-600837,2,2,0,April 4 2022,75000,Murree Expressway ,Apartment ,8.227701642969173,2239.5803872162087
111,https://www.graana.com/property/islamabad-f-11-14-marla-house-for-rent-600836,4,4,1,April 4 2022,200000,F-11 ,House ,14.0,3810.8
112,https://www.graana.com/property/islamabad-f-11-1750-sqft-apartment-for-rent-600886,2,2,1,April 4 2022,70000,F-11 ,Apartment ,6.427891908569666,1749.6721775126632
113,https://www.graana.com/property/islamabad-f-11-1250-sqft-apartment-for-rent-600889,1,1,1,April 4 2022,90000,F-11 ,Apartment ,4.591351363264047,1249.7658410804736
114,https://www.graana.com/property/islamabad-f-11-1-kanal-upper-portion-for-rent-600914,3,3,1,April 4 2022,200000,F-11 ,Upper Portion ,20.0,5444.0
115,https://www.graana.com/property/islamabad-f-11-1-kanal-basement-for-rent-600920,3,3,1,April 4 2022,180000,F-11 ,Basement ,20.0,5444.0
116,https://www.graana.com/property/islamabad-f-11-1-kanal-upper-portion-for-rent-601053,3,3,1,April 4 2022,200000,F-11 ,Upper Portion ,20.0,5444.0
117,https://www.graana.com/property/islamabad-e-11-8-marla-basement-for-rent-601060,4,4,1,April 4 2022,90000,E-11 ,Basement ,8.0,2177.6
118,https://www.graana.com/property/islamabad-f-11-1170-sqft-apartment-for-rent-601096,2,2,1,April 4 2022,90000,F-11 ,Apartment ,4.297504876015148,1169.7808272513234
119,https://www.graana.com/property/islamabad-e-11-450-sqft-apartment-for-rent-601360,1,1,1,April 4 2022,32000,E-11 ,Apartment ,1.652886490775057,449.91570278897046
120,https://www.graana.com/property/islamabad-f-6-2-kanal-house-for-rent-603668,4,5,6,April 6 2022,450000,F-6 ,House ,40.0,10888.0
121,https://www.graana.com/property/islamabad-g-13-2-7-marla-lower-portion-for-rent-494849,2,2,1,April 6 2022,60000,G-13/2 ,Lower Portion ,7.0,1905.4
122,https://www.graana.com/property/islamabad-g-13-1-4-marla-lower-portion-for-rent-494847,2,2,1,April 6 2022,42000,G-13/1 ,Lower Portion ,4.0,1088.8
123,https://www.graana.com/property/islamabad-f-6-2-1-kanal-lower-portion-for-rent-433791,3,4,2,April 5 2022,250000,F-6/2 ,Lower Portion ,20.0,5444.0
124,https://www.graana.com/property/islamabad-f-6-1-1-kanal-lower-portion-for-rent-433790,3,3,2,April 5 2022,260000,F-6/1 ,Lower Portion ,20.0,5444.0
125,https://www.graana.com/property/islamabad-f-6-1-400-sqyd-house-for-rent-283699,4,4,0,April 5 2022,180000,F-6/1 ,Yd. House ,1.469232436244495,399.92506914575154
126,https://www.graana.com/property/islamabad-g-14-1.3-kanal-upper-portion-for-rent-602322,4,5,2,April 5 2022,100000,G-14 ,Upper Portion ,26.0,7077.2
127,https://www.graana.com/property/islamabad-g-13-7-marla-house-for-rent-602324,6,5,2,April 5 2022,130000,G-13 ,House ,7.0,1905.4
128,https://www.graana.com/property/islamabad-g-14-26-marla-upper-portion-for-rent-602317,4,5,2,April 5 2022,100000,G-14 ,Upper Portion ,26.0,7077.2
129,https://www.graana.com/property/islamabad-faisal-town-f-18-460-sqft-apartment-for-rent-602446,1,1,0,April 5 2022,25000,Faisal Town F-18  ,Apartment ,1.6896173016811693,459.9138295176143
130,https://www.graana.com/property/islamabad-e-11-450-sqft-apartment-for-rent-601363,1,1,1,April 4 2022,32000,E-11 ,Apartment ,1.652886490775057,449.91570278897046
131,https://www.graana.com/property/islamabad-kiyani-town-lehtrar-road-islamabad-5-marla-upper-portion-for-rent-600554,2,2,0,March 31 2022,15000,Kiyani Town Lehtrar Road ,Upper Portion ,5.0,1361.0
132,https://www.graana.com/property/islamabad-g-13-7-marla-basement-for-rent-481009,2,2,1,March 31 2022,35000,G-13 ,Residential Basement ,7.0,1905.4
133,https://www.graana.com/property/islamabad-g-13-3-12-marla-lower-portion-for-rent-361527,3,3,1,March 31 2022,70000,G-13/3 ,Lower Portion ,12.0,3266.4
134,https://www.graana.com/property/islamabad-g-13-2-8-marla-house-for-rent-356429,5,5,1,March 31 2022,89000,G-13/2 ,House ,8.0,2177.6
135,https://www.graana.com/property/islamabad-g-13-4-4-marla-lower-portion-for-rent-361840,2,2,1,March 31 2022,28000,G-13/4 ,Lower Portion ,4.0,1088.8
136,https://www.graana.com/property/islamabad-g-13-4-10-marla-lower-portion-for-rent-362490,2,3,1,March 31 2022,55000,G-13/4 ,Lower Portion ,10.0,2722.0
137,https://www.graana.com/property/islamabad-g-13-4-1-kanal-upper-portion-for-rent-364241,3,4,1,March 31 2022,60000,G-13/4 ,Upper Portion ,20.0,5444.0
138,https://www.graana.com/property/islamabad-g-13-3-12-marla-upper-portion-for-rent-364276,4,3,1,March 31 2022,70000,G-13/3 ,Upper Portion ,12.0,3266.4
139,https://www.graana.com/property/islamabad-g-13-2-7-marla-house-for-rent-375125,4,5,2,March 31 2022,90000,G-13/2 ,House ,7.0,1905.4
140,https://www.graana.com/property/islamabad-g-13-2-10-marla-lower-portion-for-rent-364290,3,3,1,March 31 2022,65000,G-13/2 ,Lower Portion ,10.0,2722.0
141,https://www.graana.com/property/islamabad-g-13-2-1000-sqft-house-for-rent-370067,4,5,0,March 31 2022,65000,G-13/2 ,Ft. House ,3.673081090611238,999.8126728643788
142,https://www.graana.com/property/islamabad-g-13-8-marla-upper-portion-for-rent-375960,2,3,1,March 31 2022,45000,G-13 ,Upper Portion ,8.0,2177.6
143,https://www.graana.com/property/islamabad-g-13-8-marla-lower-portion-for-rent-375962,2,3,1,March 31 2022,42000,G-13 ,Lower Portion ,8.0,2177.6
144,https://www.graana.com/property/islamabad-g-13-1-1000-sqft-upper-portion-for-rent-377609,2,2,1,March 31 2022,25000,G-13/1 ,Ft. Upper Portion ,3.673081090611238,999.8126728643788
145,https://www.graana.com/property/islamabad-i-11-2-5-marla-house-for-rent-599711,4,4,1,March 31 2022,60000,I-11/2 ,House ,5.0,1361.0
146,https://www.graana.com/property/islamabad-g-13-14-marla-upper-portion-for-rent-600020,3,3,1,March 31 2022,100000,G-13 ,Upper Portion ,14.0,3810.8
147,https://www.graana.com/property/islamabad-g-13-14-marla-upper-portion-for-rent-600172,3,3,1,March 31 2022,100000,G-13 ,Upper Portion ,14.0,3810.8
148,https://www.graana.com/property/islamabad-g-13-14-marla-upper-portion-for-rent-600332,3,3,1,March 31 2022,100000,G-13 ,Upper Portion ,14.0,3810.8
149,https://www.graana.com/property/islamabad-f-8-3-950-sqft-apartment-for-rent-599349,2,3,1,March 31 2022,70000,F-8/3 ,Apartment ,3.489427036080676,949.82203922116
150,https://www.graana.com/property/islamabad-faisal-town-f-18-460-sqft-apartment-for-rent-602445,1,1,0,April 5 2022,23000,Faisal Town F-18  ,Apartment ,1.6896173016811693,459.9138295176143
151,https://www.graana.com/property/islamabad-faisal-town-f-18-460-sqft-apartment-for-rent-602442,1,1,0,April 5 2022,23000,Faisal Town F-18  ,Apartment ,1.6896173016811693,459.9138295176143
152,https://www.graana.com/property/islamabad-e-11-850-sqft-apartment-for-rent-602418,1,1,1,April 5 2022,75000,E-11 ,Apartment ,3.122118927019552,849.840771934722
153,https://www.graana.com/property/islamabad-f-11-2-1-kanal-upper-portion-for-rent-601362,3,3,1,April 4 2022,200000,F-11/2 ,Upper Portion ,20.0,5444.0
154,https://www.graana.com/property/islamabad-g-14-1.3-kanal-upper-portion-for-rent-601366,4,5,1,April 4 2022,90000,G-14 ,Upper Portion ,26.0,7077.2
155,https://www.graana.com/property/islamabad-f-10-1-1066-sqyd-house-for-rent-601089,8,9,3,April 4 2022,800000,F-10/1 ,House ,3.9155044425915793,1065.8003092734275
156,https://www.graana.com/property/islamabad-f-10-1-500-sqyd-house-for-rent-601085,5,6,2,April 4 2022,600000,F-10/1 ,House ,1.836540545305619,499.9063364321895
157,https://www.graana.com/property/islamabad-f-10-4-1-kanal-house-for-rent-601097,4,5,2,April 4 2022,350000,F-10/4 ,House ,20.0,5444.0
158,https://www.graana.com/property/islamabad-f-10-2-500-sqyd-upper-portion-for-rent-601098,4,4,1,April 4 2022,250000,F-10/2 ,Upper Portion ,1.836540545305619,499.9063364321895
159,https://www.graana.com/property/islamabad-f-10-2-666-sqyd-upper-portion-for-rent-601090,4,5,1,April 4 2022,200000,F-10/2 ,Upper Portion ,2.446272006347084,665.8752401276763
