Price,total_area,url,beds,baths,garage,location,date
PKR 2.9 lac,18 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-18-marla-upper-portion-for-rent-283503,3,3,1,F-6/1 Islamabad,April 5 2022
PKR 3.14 lac,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-4-1-kanal-upper-portion-for-rent-283560,3,4,1,F-6/4 Islamabad,April 5 2022
PKR 3.1 lac,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-1-kanal-upper-portion-for-rent-283572,3,4,0,F-6/1 Islamabad,April 5 2022
PKR 2.95 lac,18 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-18-marla-upper-portion-for-rent-283513,3,4,0,F-6/1 Islamabad,April 5 2022
PKR 2.84 lac,18 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-18-marla-upper-portion-for-rent-274669,3,3,1,F-6/1 Islamabad,April 5 2022
PKR 2.84 lac,18 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-18-marla-upper-portion-for-rent-283549,3,3,1,F-6 Islamabad,April 5 2022
PKR 5 lac,500 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-6-3-500-sqyd-house-for-rent-604957,4,5,4,F-6/3 Islamabad,April 8 2022
PKR 5.25 lac,1000 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-8-3-1000-sqyd-house-for-rent-604842,4,5,7,F-8/3 Islamabad,April 8 2022
PKR 1.2 lac,1500 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-g-5-1500-sqft-apartment-for-rent-604877,1,1,1,G-5 Islamabad,April 8 2022
PKR 1.5 lac,1 Kanal House for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-604185,3,3,1,DHA Phase 2 Islamabad,April 7 2022
PKR 7 lac,666 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-8-3-666-sqyd-house-for-rent-604407,6,7,5,F-8/3 Islamabad,April 7 2022
PKR 2.5 lac,666 Sqyd Lower Portion for Rent,https://www.graana.com/property/islamabad-f-8-4-666-sqyd-lower-portion-for-rent-603982,3,4,4,F-8/4 Islamabad,April 7 2022
PKR 7 lac,500 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-500-sqyd-house-for-rent-603709,4,5,3,F-7 Islamabad,April 7 2022
PKR 1.8 lac,1 Kanal House for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-upper-portion-for-rent-603348,3,3,1,DHA Phase 2 Islamabad,April 6 2022
PKR 4 lac,666 Sqyd House for Rent,https://www.graana.com/property/islamabad-e-7-666-sqyd-house-for-rent-603775,2,2,1,E-7 Islamabad,April 6 2022
PKR 7.5 lac,444 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-6-444-sqyd-house-for-rent-603639,5,6,3,F-6 Islamabad,April 6 2022
PKR 2.68 lac,14 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-2-14-marla-upper-portion-for-rent-274672,3,3,1,F-6/2 Islamabad,April 5 2022
PKR 2.5 lac,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-6-1-kanal-house-for-rent-467145,3,4,8,F-6 Islamabad,April 5 2022
PKR 14 lac,2 Kanal House for Rent,https://www.graana.com/property/islamabad-f-6-3-2-kanal-house-for-rent-481634,8,8,2,F-6/3 Islamabad,April 5 2022
PKR 7.21 lac,14 Marla House for Rent,https://www.graana.com/property/islamabad-f-6-3-14-marla-house-for-rent-485499,6,6,1,F-6/3 Islamabad,April 5 2022
PKR 4.78 lac,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-6-3-1-kanal-house-for-rent-283613,5,5,1,F-6/3 Islamabad,April 5 2022
PKR 4.32 lac,18 Marla House for Rent,https://www.graana.com/property/islamabad-f-6-1-18-marla-house-for-rent-283611,4,5,0,F-6/1 Islamabad,April 5 2022
PKR 2.82 lac,18 Marla House for Rent,https://www.graana.com/property/islamabad-f-6-1-18-marla-house-for-rent-283578,3,3,1,F-6/1 Islamabad,April 5 2022
PKR 25000,5 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-e-11-5-marla-lower-portion-for-rent-602391,2,2,1,E-11 Islamabad,April 5 2022
PKR 11000,450 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-450-sqft-apartment-for-rent-602392,1,1,1,E-11 Islamabad,April 5 2022
PKR 1.5 lac,1550 Sqft Penthouse for Rent,https://www.graana.com/property/islamabad-e-11-1550-sqft-penthouse-for-rent-597182,2,2,1,E-11 Islamabad,April 4 2022
PKR 75000,2240 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-murree-expressway-2240-sqft-apartment-for-rent-600837,2,2,0,Murree Expressway Islamabad,April 4 2022
PKR 2 lac,14 Marla House for Rent,https://www.graana.com/property/islamabad-f-11-14-marla-house-for-rent-600836,4,4,1,F-11 Islamabad,April 4 2022
PKR 70000,1750 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-11-1750-sqft-apartment-for-rent-600886,2,2,1,F-11 Islamabad,April 4 2022
PKR 90000,1250 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-11-1250-sqft-apartment-for-rent-600889,1,1,1,F-11 Islamabad,April 4 2022
PKR 2 lac,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-f-11-1-kanal-upper-portion-for-rent-600914,3,3,1,F-11 Islamabad,April 4 2022
PKR 1.8 lac,1 Kanal Basement for Rent,https://www.graana.com/property/islamabad-f-11-1-kanal-basement-for-rent-600920,3,3,1,F-11 Islamabad,April 4 2022
PKR 2 lac,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-f-11-1-kanal-upper-portion-for-rent-601053,3,3,1,F-11 Islamabad,April 4 2022
PKR 90000,8 Marla Basement for Rent,https://www.graana.com/property/islamabad-e-11-8-marla-basement-for-rent-601060,4,4,1,E-11 Islamabad,April 4 2022
PKR 90000,1170 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-11-1170-sqft-apartment-for-rent-601096,2,2,1,F-11 Islamabad,April 4 2022
PKR 32000,450 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-450-sqft-apartment-for-rent-601360,1,1,1,E-11 Islamabad,April 4 2022
PKR 4.5 lac,2 Kanal House for Rent,https://www.graana.com/property/islamabad-f-6-2-kanal-house-for-rent-603668,4,5,6,F-6 Islamabad,April 6 2022
PKR 60000,7 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-2-7-marla-lower-portion-for-rent-494849,2,2,1,G-13/2 Islamabad,April 6 2022
PKR 42000,4 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-1-4-marla-lower-portion-for-rent-494847,2,2,1,G-13/1 Islamabad,April 6 2022
PKR 2.5 lac,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-f-6-2-1-kanal-lower-portion-for-rent-433791,3,4,2,F-6/2 Islamabad,April 5 2022
PKR 2.6 lac,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-1-kanal-lower-portion-for-rent-433790,3,3,2,F-6/1 Islamabad,April 5 2022
PKR 1.8 lac,400 Sq. Yd. House for Rent,https://www.graana.com/property/islamabad-f-6-1-400-sqyd-house-for-rent-283699,4,4,0,F-6/1 Islamabad,April 5 2022
PKR 1 lac,1.3 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-g-14-1.3-kanal-upper-portion-for-rent-602322,4,5,2,G-14 Islamabad,April 5 2022
PKR 1.3 lac,7 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-7-marla-house-for-rent-602324,6,5,2,G-13 Islamabad,April 5 2022
PKR 1 lac,1.3 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-g-14-26-marla-upper-portion-for-rent-602317,4,5,2,G-14 Islamabad,April 5 2022
PKR 25000,460 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-faisal-town-f-18-460-sqft-apartment-for-rent-602446,1,1,0,Faisal Town F-18  Islamabad,April 5 2022
PKR 32000,450 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-450-sqft-apartment-for-rent-601363,1,1,1,E-11 Islamabad,April 4 2022
PKR 15000,5 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-kiyani-town-lehtrar-road-islamabad-5-marla-upper-portion-for-rent-600554,2,2,0,Kiyani Town Lehtrar Road Islamabad Islamabad,March 31 2022
PKR 35000,7 Marla Residential Basement for Rent,https://www.graana.com/property/islamabad-g-13-7-marla-basement-for-rent-481009,2,2,1,G-13 Islamabad,March 31 2022
PKR 70000,12 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-3-12-marla-lower-portion-for-rent-361527,3,3,1,G-13/3 Islamabad,March 31 2022
PKR 89000,8 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-2-8-marla-house-for-rent-356429,5,5,1,G-13/2 Islamabad,March 31 2022
PKR 28000,4 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-4-marla-lower-portion-for-rent-361840,2,2,1,G-13/4 Islamabad,March 31 2022
PKR 55000,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-10-marla-lower-portion-for-rent-362490,2,3,1,G-13/4 Islamabad,March 31 2022
PKR 60000,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-1-kanal-upper-portion-for-rent-364241,3,4,1,G-13/4 Islamabad,March 31 2022
PKR 70000,12 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-3-12-marla-upper-portion-for-rent-364276,4,3,1,G-13/3 Islamabad,March 31 2022
PKR 90000,7 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-2-7-marla-house-for-rent-375125,4,5,2,G-13/2 Islamabad,March 31 2022
PKR 65000,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-2-10-marla-lower-portion-for-rent-364290,3,3,1,G-13/2 Islamabad,March 31 2022
PKR 65000,1000 Sq. Ft. House for Rent,https://www.graana.com/property/islamabad-g-13-2-1000-sqft-house-for-rent-370067,4,5,0,G-13/2 Islamabad,March 31 2022
PKR 45000,8 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-8-marla-upper-portion-for-rent-375960,2,3,1,G-13 Islamabad,March 31 2022
PKR 42000,8 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-8-marla-lower-portion-for-rent-375962,2,3,1,G-13 Islamabad,March 31 2022
PKR 25000,1000 Sq. Ft. Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-1-1000-sqft-upper-portion-for-rent-377609,2,2,1,G-13/1 Islamabad,March 31 2022
PKR 60000,5 Marla House for Rent,https://www.graana.com/property/islamabad-i-11-2-5-marla-house-for-rent-599711,4,4,1,I-11/2 Islamabad,March 31 2022
PKR 1 lac,14 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-14-marla-upper-portion-for-rent-600020,3,3,1,G-13 Islamabad,March 31 2022
PKR 1 lac,14 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-14-marla-upper-portion-for-rent-600172,3,3,1,G-13 Islamabad,March 31 2022
PKR 1 lac,14 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-14-marla-upper-portion-for-rent-600332,3,3,1,G-13 Islamabad,March 31 2022
PKR 70000,950 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-8-3-950-sqft-apartment-for-rent-599349,2,3,1,F-8/3 Islamabad,March 31 2022
PKR 23000,460 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-faisal-town-f-18-460-sqft-apartment-for-rent-602445,1,1,0,Faisal Town F-18  Islamabad,April 5 2022
PKR 23000,460 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-faisal-town-f-18-460-sqft-apartment-for-rent-602442,1,1,0,Faisal Town F-18  Islamabad,April 5 2022
PKR 75000,850 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-850-sqft-apartment-for-rent-602418,1,1,1,E-11 Islamabad,April 5 2022
PKR 2 lac,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-f-11-2-1-kanal-upper-portion-for-rent-601362,3,3,1,F-11/2 Islamabad,April 4 2022
PKR 90000,1.3 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-g-14-1.3-kanal-upper-portion-for-rent-601366,4,5,1,G-14 Islamabad,April 4 2022
