,page_url,property_type,price,location,city,locality,baths,area,area_marla,area_sqft,bedrooms
8775,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_upper_portion_for_rent_jinnah_garden-16458131-1421-4.html,Upper Portion,18000,FECHS,Islamabad,"FECHS, Islamabad, Islamabad Capital",4,7 Marla,7.0,1905.76,4
8776,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_upper_portion_for_rent_jinnah_garden-16458141-1421-4.html,Upper Portion,22000,FECHS,Islamabad,"FECHS, Islamabad, Islamabad Capital",3,7 Marla,7.0,1905.76,2
8777,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_upper_portion_for_rent_jinnah_garden-16458195-1421-4.html,Upper Portion,23000,FECHS,Islamabad,"FECHS, Islamabad, Islamabad Capital",3,10 Marla,10.0,2722.51,2
8778,https://www.zameen.com/Property/islamabad_g_6_portion_for_rent_in_g_6-16458228-169-4.html,Upper Portion,46000,G-6,Islamabad,"G-6, Islamabad, Islamabad Capital",3,6 Marla,6.0,1633.51,3
8779,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_upper_portion_for_rent_jinnah_garden-16458267-1421-4.html,Upper Portion,19000,FECHS,Islamabad,"FECHS, Islamabad, Islamabad Capital",3,7 Marla,7.0,1905.76,2
8780,https://www.zameen.com/Property/islamabad_soan_garden_well_built_portion_available_in_good_location-16460077-338-4.html,Upper Portion,26000,Soan Garden,Islamabad,"Soan Garden, Islamabad, Islamabad Capital",3,10 Marla,10.0,2722.51,3
8781,https://www.zameen.com/Property/islamabad_soan_garden_well_built_portion_available_in_good_location-16460081-338-4.html,Upper Portion,25000,Soan Garden,Islamabad,"Soan Garden, Islamabad, Islamabad Capital",3,10 Marla,10.0,2722.51,3
8782,https://www.zameen.com/Property/islamabad_soan_garden_well_built_portion_available_in_good_location-16460083-338-4.html,Upper Portion,27000,Soan Garden,Islamabad,"Soan Garden, Islamabad, Islamabad Capital",3,10 Marla,10.0,2722.51,3
8783,https://www.zameen.com/Property/islamabad_g_6_portion_is_available_for__rent-16466291-169-4.html,Upper Portion,35000,G-6,Islamabad,"G-6, Islamabad, Islamabad Capital",3,5 Marla,5.0,1361.25,3
8784,https://www.zameen.com/Property/islamabad_e_11_e_11_upper_portion_3_bedrooms_d_d__lounge_kitchen_servant_quarter_parking-16468381-329-4.html,Upper Portion,65000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",3,14 Marla,14.0,3811.51,3
8785,https://www.zameen.com/Property/islamabad_ghauri_town_1st_floor_portion_is_available_for_rent-16469558-1314-4.html,Upper Portion,18000,Ghauri Town,Islamabad,"Ghauri Town, Islamabad, Islamabad Capital",2,5 Marla,5.0,1361.25,2
8786,https://www.zameen.com/Property/islamabad_f_7_furnished_upper_portion_for_rent-16474785-165-4.html,Upper Portion,120000,F-7,Islamabad,"F-7, Islamabad, Islamabad Capital",0,1 Kanal,20.0,5445.02,0
