,page_url,property_type,price,location,city,locality,baths,area,area_marla,area_sqft,bedrooms
24328,https://www.zameen.com/Property/islamabad_g_15_one_bed_flat_for_rent-16992090-764-4.html,Flat,13000,G-15,Islamabad,"G-15, Islamabad, Islamabad Capital",1,2 Marla,2.0,544.5,1
24338,https://www.zameen.com/Property/islamabad_highway_the_palm_residential_apartments_book_your_dream_apartment_todaybest_time_to_invest_your_savings-16993065-11633-1.html,Flat,5250000,Islamabad Highway,Islamabad,"Islamabad Highway, Islamabad, Islamabad Capital",1,3.1 Marla,3.1,843.98,1
24340,https://www.zameen.com/Property/islamabad_highway_the_palm_residential_apartments_best_time_to_invest_your_savingsbook_your_dream_apartment_today-16993694-11633-1.html,Flat,5513000,Islamabad Highway,Islamabad,"Islamabad Highway, Islamabad, Islamabad Capital",1,3.3 Marla,3.3,898.43,1
24341,https://www.zameen.com/Property/islamabad_highway_the_palm_residential_apartments_hurry_up_book_your_luxury_apartment_nowbest_time_to_invest_your_savings-16993768-11633-1.html,Flat,8872000,Islamabad Highway,Islamabad,"Islamabad Highway, Islamabad, Islamabad Capital",2,5.3 Marla,5.3,1442.93,2
24344,https://www.zameen.com/Property/islamabad_highway_the_palm_residential_apartments_book_your_dream_apartment_todaybest_time_to_invest_your_savings-16993807-11633-1.html,Flat,17700000,Islamabad Highway,Islamabad,"Islamabad Highway, Islamabad, Islamabad Capital",3,10.5 Marla,10.5,2858.64,3
24345,https://www.zameen.com/Property/islamabad_highway_the_palm_residential_apartments_hurry_up_book_your_dream_apartment_todaybest_time_to_invest_your_savings-16993867-11633-1.html,Flat,19200000,Islamabad Highway,Islamabad,"Islamabad Highway, Islamabad, Islamabad Capital",4,11.4 Marla,11.4,3103.66,4
24348,https://www.zameen.com/Property/islamabad_highway_the_palm_residential_apartments_book_your_dream_apartment_todaybest_time_to_invest_your_savings-16993967-11633-1.html,Flat,5250000,Islamabad Highway,Islamabad,"Islamabad Highway, Islamabad, Islamabad Capital",1,3.1 Marla,3.1,843.98,1
24349,https://www.zameen.com/Property/islamabad_highway_the_palm_residential_apartments_hurry_up_book_your_luxury_apartment_nowbest_time_to_invest_your_savings-16994064-11633-1.html,Flat,5513000,Islamabad Highway,Islamabad,"Islamabad Highway, Islamabad, Islamabad Capital",1,3.3 Marla,3.3,898.43,1
24353,https://www.zameen.com/Property/islamabad_e_11_3_bed_flat_for_sale-16994407-329-1.html,Flat,13000000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",3,9.3 Marla,9.3,2531.93,3
24357,https://www.zameen.com/Property/g_15_g_15_3_flate_avalable_for_sale_in_g15-16995630-3350-1.html,Flat,7500000,G-15,Islamabad,"G-15, Islamabad, Islamabad Capital",4,10.4 Marla,10.4,2831.41,3
24377,https://www.zameen.com/Property/islamabad_e_11_flat_is_available_for_sale_in_khuda_dad_heights-16996003-329-1.html,Flat,18000000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",3,9.6 Marla,9.6,2613.61,3
24424,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_well_built_apartment_available_in_good_location-16998438-9914-1.html,Flat,3800000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,3.6 Marla,3.6,980.1,0
24425,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_well_built_apartment_available_in_good_location-16998442-9914-1.html,Flat,5200000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,4.9 Marla,4.9,1334.03,0
24426,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_well_built_apartment_available_in_good_location-16998459-9914-1.html,Flat,5200000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,4.9 Marla,4.9,1334.03,0
24427,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_well_built_apartment_available_in_good_location-16998464-9914-1.html,Flat,5000000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,4.9 Marla,4.9,1334.03,0
24428,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_well_built_apartment_available_in_good_location-16998470-9914-1.html,Flat,5500000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,4.2 Marla,4.2,1143.45,0
24429,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_well_built_apartment_available_in_good_location-16998476-9914-1.html,Flat,3600000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,3.6 Marla,3.6,980.1,0
24430,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_well_built_apartment_available_in_good_location-16998522-9914-1.html,Flat,5200000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,4.9 Marla,4.9,1334.03,0
24431,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_well_built_apartment_available_in_good_location-16998528-9914-1.html,Flat,4000000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,3.6 Marla,3.6,980.1,0
24432,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_well_built_apartment_available_in_good_location-16998551-9914-1.html,Flat,5500000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,4.9 Marla,4.9,1334.03,0
