,Price,House_location,baths,beds,total_sqft,kitchens,tv_lounge,store
17500,7500000,Samarzar Housing Society,3,3,2178,2,2,1
17512,1900000,Samarzar Housing Society,2,2,816,1,1,0
17513,2400000,Samarzar Housing Society,2,2,1089,1,2,0
17514,5700000,Samarzar Housing Society,2,2,1633,2,2,1
17515,2000000,Samarzar Housing Society,2,2,816,1,1,0
17518,2000000,Samarzar Housing Society,2,2,816,1,1,0
17521,4700000,Samarzar Housing Society,2,2,1361,2,2,1
17522,5200000,Samarzar Housing Society,3,2,1361,2,2,1
17523,5200000,Samarzar Housing Society,3,2,1361,2,2,1
17524,5000000,Samarzar Housing Society,3,2,1361,2,2,1
17525,5500000,Samarzar Housing Society,2,2,1633,2,2,1
17526,4700000,Samarzar Housing Society,2,2,1361,2,2,1
17527,2000000,Samarzar Housing Society,2,2,816,1,1,0
17528,2000000,Samarzar Housing Society,2,2,816,1,1,0
17529,2000000,Samarzar Housing Society,2,2,816,1,1,0
17530,2000000,Samarzar Housing Society,2,2,816,1,1,0
17531,4200000,Samarzar Housing Society,2,2,1361,2,2,1
17532,1900000,Samarzar Housing Society,2,2,816,1,1,0
17533,2400000,Samarzar Housing Society,2,2,1089,1,2,0
17534,4000000,Samarzar Housing Society,2,2,1361,2,2,1
17535,2200000,Samarzar Housing Society,2,2,816,1,1,0
17536,2200000,Samarzar Housing Society,2,2,816,1,1,0
17537,4800000,Samarzar Housing Society,2,2,1361,2,2,1
17538,4700000,Samarzar Housing Society,2,2,1361,2,2,1
17540,4200000,Samarzar Housing Society,3,2,1361,2,2,1
17541,7500000,other,4,3,1361,2,2,1
17542,6200000,other,2,2,1089,1,2,0
17543,3300000,other,2,2,544,1,1,0
17544,3300000,other,2,2,544,1,1,0
17549,42500000,Satellite Town,5,5,2994,2,2,1
17550,26000000,Satellite Town,3,3,2722,2,2,1
17551,19500000,Satellite Town,4,4,1361,2,2,1
17552,30000000,Satellite Town,6,6,1905,2,2,1
17553,35000000,Satellite Town,8,7,2178,2,2,1
17554,18000000,Satellite Town,3,3,1361,2,2,1
17557,14000000,Satellite Town,4,5,816,1,1,0
17558,21500000,Satellite Town,7,7,1361,2,2,1
17559,15000000,Satellite Town,4,4,1089,1,2,0
17560,41500000,Satellite Town,7,7,2178,2,2,1
17561,36000000,Satellite Town,4,4,2178,2,2,1
17563,35000000,Satellite Town,4,6,2450,2,2,1
17564,24500000,Satellite Town,2,2,1905,2,2,1
17566,20000000,Satellite Town,3,4,1633,2,2,1
17567,35000000,Satellite Town,3,3,2722,2,2,1
17568,23000000,Satellite Town,6,6,1633,2,2,1
17571,25000000,Satellite Town,5,6,1633,2,2,1
17576,26500000,Satellite Town,4,6,1769,2,2,1
17578,47000000,Satellite Town,8,8,2722,2,2,1
17581,25000000,Satellite Town,3,3,2341,2,2,1
17582,45000000,Satellite Town,8,8,2994,2,2,1
17584,33000000,Satellite Town,5,7,1905,2,2,1
17585,31500000,Satellite Town,6,6,2178,2,2,1
17586,25000000,Satellite Town,5,4,1905,2,2,1
17590,55000000,Satellite Town,4,4,3539,2,2,1
17592,100000000,Satellite Town,3,4,5445,2,2,1
17593,20000000,Satellite Town,4,5,1361,2,2,1
17595,40000000,Satellite Town,6,6,2178,2,2,1
17596,40000000,Satellite Town,6,6,2178,2,2,1
17597,35000000,Satellite Town,5,5,2450,2,2,1
17598,28000000,Satellite Town,4,6,1905,2,2,1
17600,24000000,Satellite Town,3,3,1905,2,2,1
17603,30000000,Satellite Town,2,3,1905,2,2,1
17605,26000000,Satellite Town,5,4,1905,2,2,1
17608,26000000,Satellite Town,3,4,1361,2,2,1
