,Price,House_location,baths,beds,area
445,3700000,Bahria Town Rawalpindi,1,1,598
446,7200000,Bahria Town Rawalpindi,2,2,1579
447,3300000,Bahria Town Rawalpindi,2,2,762
448,2800000,Bahria Town Rawalpindi,2,2,735
449,3500000,Bahria Town Rawalpindi,1,1,925
450,3300000,Bahria Town Rawalpindi,1,1,653
451,5500000,Bahria Town Rawalpindi,3,3,1334
452,8000000,Bahria Town Rawalpindi,2,2,1143
453,3400000,Bahria Town Rawalpindi,1,1,435
454,3500000,Bahria Town Rawalpindi,1,1,1089
455,3000000,Bahria Town Rawalpindi,2,2,1361
456,6500000,Bahria Town Rawalpindi,2,2,1197
457,12500000,Bahria Town Rawalpindi,2,2,1279
458,4400000,Bahria Town Rawalpindi,1,1,871
459,12500000,Bahria Town Rawalpindi,2,2,1579
460,7000000,Bahria Town Rawalpindi,2,2,1334
461,6900000,Bahria Town Rawalpindi,2,2,1334
462,2200000,Bahria Town Rawalpindi,1,2,871
463,6500000,Bahria Town Rawalpindi,2,1,980
464,3500000,Bahria Town Rawalpindi,2,2,952
465,6620000,Bahria Town Rawalpindi,1,1,1034
466,5500000,Bahria Town Rawalpindi,2,2,1034
467,7400000,Bahria Town Rawalpindi,2,1,1007
468,7000000,Bahria Town Rawalpindi,2,1,980
469,3500000,Bahria Town Rawalpindi,1,1,598
470,3200000,Bahria Town Rawalpindi,2,2,1197
471,15900000,Bahria Town Rawalpindi,2,2,1687
472,15000000,Bahria Town Rawalpindi,2,2,2069
473,15000000,Bahria Town Rawalpindi,2,2,2069
474,6500000,Bahria Town Rawalpindi,2,2,1197
475,2600000,Bahria Town Rawalpindi,1,1,544
476,3400000,Bahria Town Rawalpindi,1,2,952
477,5200000,Bahria Town Rawalpindi,2,2,898
478,2100000,Bahria Town Rawalpindi,1,2,1361
479,2300000,Bahria Town Rawalpindi,1,2,1361
480,3500000,Bahria Town Rawalpindi,1,2,1361
481,9000000,Bahria Town Rawalpindi,2,1,1116
482,9000000,Bahria Town Rawalpindi,2,2,1932
483,18000000,Bahria Town Rawalpindi,2,2,2668
484,2300000,Bahria Town Rawalpindi,1,2,1361
485,3000000,Bahria Town Rawalpindi,1,2,952
486,3700000,Bahria Town Rawalpindi,1,1,598
487,2550000,Bahria Town Rawalpindi,1,1,462
488,1700000,Bahria Town Rawalpindi,1,1,353
489,3500000,Bahria Town Rawalpindi,1,2,952
490,5500000,Bahria Town Rawalpindi,2,2,925
