,Price,House_location,baths,beds,total_sqft,portion,garage
1005,40000,Margalla Town,4,4,2178,1,1
1006,35000,other,3,2,1905,1,1
1007,35000,other,3,2,1905,1,1
1009,35000,B-17,3,3,2722,1,1
1010,32000,Bahria Town,3,3,2178,1,1
1012,40000,G-9,2,2,3811,1,2
1014,45000,E-11,3,2,1633,1,1
1015,16000,Ghauri Town,3,2,1633,1,1
1017,50000,G-13,3,3,3267,1,2
1018,26000,G-15,2,2,2178,1,1
1022,60000,Green Avenue,3,3,3539,1,2
1025,50000,G-13,3,3,2722,1,1
1032,50000,G-13,3,3,3267,1,2
1041,18000,Pakistan Town,2,2,1361,1,0
1042,28000,G-8,2,2,1361,1,0
1045,35000,G-10,2,2,1905,1,1
1053,65000,I-8,3,3,3811,1,2
1054,65000,I-8,3,3,3811,1,2
1057,35000,G-10,2,2,1824,1,1
1058,22000,PWD Housing Scheme,3,2,2722,1,1
1060,43000,G-13,3,3,2722,1,1
1061,30000,Shehzad Town,2,2,2178,1,1
1066,26000,Soan Garden,3,3,3267,1,2
1068,18000,Ghauri Town,2,2,1361,1,0
1069,16000,Ghauri Town,2,2,1361,1,0
1070,35000,G-13,2,2,1905,1,1
1071,19000,Ghauri Town,2,2,1361,1,0
1072,24000,Ghauri Town,3,3,1905,1,1
1073,33000,G-15,4,4,2722,1,1
1079,25000,D-17,2,2,2531,1,1
1080,25000,D-17,2,2,2531,1,1
1083,40000,Shehzad Town,4,4,2178,1,1
1085,28000,PWD Housing Scheme,3,2,2722,1,1
1088,50000,F-11,2,2,2531,1,1
1089,19000,Ghauri Town,2,2,1361,1,0
1090,50000,G-13,3,3,3865,1,2
1092,50000,G-13,3,3,2722,1,1
1096,27000,G-13,2,2,1089,1,0
1097,65000,E-11,3,3,3811,1,2
1098,55000,I-8,3,3,2994,1,2
1101,22000,Ghauri Town,3,3,1905,1,1
1104,75000,D-12,3,3,3811,1,2
1105,50000,G-9,3,3,3267,1,2
1107,20000,G-13,2,2,1089,1,0
1109,12000,Ghauri Town,2,2,1089,1,0
1111,60000,G-11,4,3,3267,1,2
1112,45000,G-9,2,2,3811,1,2
1114,15000,Ghauri Town,2,2,1633,1,1
1115,34000,Bahria Town,2,2,3539,1,2
1116,55000,D-12,3,3,3865,1,2
1118,27000,Soan Garden,2,2,2722,1,1
1119,60000,G-11,3,4,2178,1,1
1120,32000,Bani Gala,3,3,2722,1,1
1121,18000,FECHS,2,2,1905,1,1
1126,21000,CBR Town,2,2,1905,1,1
1127,18000,Ghauri Town,2,2,1361,1,0
1128,30000,Ghauri Town,4,4,2722,1,1
1134,23000,G-13,3,2,1361,1,0
1138,65000,G-8,3,3,2531,1,1
1143,45000,other,1,1,1905,1,1
1144,65000,I-8,3,3,3267,1,2
1149,30000,Lehtarar Road,3,3,3267,1,2
1153,43000,F-11,2,2,2178,1,1
1154,30000,Margalla Town,3,3,1361,1,0
1155,65000,I-8,3,3,3267,1,2
1156,55000,I-8,3,3,2722,1,1
1159,20000,Korang Town,3,3,1905,1,1
1164,22000,Naval Anchorage,2,2,1361,1,0
1165,38000,G-13,2,3,2722,1,1
1166,45000,Margalla Town,2,2,2531,1,1
1168,45000,D-12,4,3,2722,1,1
1169,22000,Naval Anchorage,2,2,1361,1,0
1170,60000,F-11,2,2,2531,1,1
1171,37000,G-13,2,2,1905,1,1
1173,25000,PWD Housing Scheme,3,3,2722,1,1
1177,14000,Ghauri Town,2,2,1361,1,0
1180,12000,other,1,1,816,1,0
1184,26000,G-13,2,2,1197,1,0
1185,22000,Soan Garden,2,2,1633,1,1
1187,55000,I-8,3,3,3267,1,2
1188,120000,G-6,3,3,735,1,0
1202,60000,E-11,3,3,3865,1,2
1203,70000,E-11,3,3,3865,1,2
1204,28000,FECHS,4,3,2722,1,1
1206,22000,Soan Garden,2,2,1905,1,1
1209,65000,G-11,4,4,3811,1,2
1210,35000,Bahria Town,2,3,2722,1,1
1211,25000,other,3,3,2178,1,1
1212,46000,G-13,3,3,3865,1,2
1214,41000,B-17,4,3,3865,1,2
1215,35000,B-17,5,3,2722,1,1
