,total_area,url,beds,baths,garage,location,date,Price_,A,B,C,D,E,F,G
536,1 Kanal House for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-579722,5,5,2,DHA Phase 2 Islamabad,March 9 2022,250000,DHA Phase 2 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
537,6 Marla Apartment for Rent,https://www.graana.com/property/islamabad-e-11-6-marla-apartment-for-rent-579268,2,2,1,E-11 Islamabad,March 9 2022,27000,E-11 ,6 Marla Apartment , Rent,6,Marla Apartment ,Marla,Apartment 
538,500 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-500-sqyd-house-for-rent-579109,4,4,3,F-7 Islamabad,March 9 2022,520000,F-7 ,500 Sqyd House , Rent,500,Sqyd House ,Sqyd,House 
539,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-soan-garden-block-h-10-marla-upper-portion-for-rent-579696,3,3,1,Soan Garden Block H Islamabad,March 9 2022,35000,Soan Garden Block H ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
540,1 Kanal Basement for Rent,https://www.graana.com/property/islamabad-d-12-1-kanal-basement-for-rent-579103,3,3,1,D-12 Islamabad,March 9 2022,110000,D-12 ,1 Kanal Basement , Rent,1,Kanal Basement ,Kanal,Basement 
541,12 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-d-12-12-marla-upper-portion-for-rent-580220,3,3,1,D-12 Islamabad,March 9 2022,95000,D-12 ,12 Marla Upper Portion , Rent,12,Marla Upper Portion ,Marla,Upper Portion 
542,14 Marla House for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-3-14-marla-house-for-rent-579589,5,5,1,Bahria Town Phase 3 Islamabad,March 9 2022,200000,Bahria Town Phase 3 ,14 Marla House , Rent,14,Marla House ,Marla,House 
543,4 Marla Apartment for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-4-4-marla-apartment-for-rent-579487,2,2,0,Bahria Town Phase 4 Islamabad,March 9 2022,12000,Bahria Town Phase 4 ,4 Marla Apartment , Rent,4,Marla Apartment ,Marla,Apartment 
544,4 Marla Apartment for Rent,https://www.graana.com/property/islamabad-e-7-4-marla-apartment-for-rent-534749,1,1,1,E-7 Islamabad,March 8 2022,140000,E-7 ,4 Marla Apartment , Rent,4,Marla Apartment ,Marla,Apartment 
545,444 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-6-444-sqyd-house-for-rent-407350,3,4,4,F-6 Islamabad,March 8 2022,200000,F-6 ,444 Sqyd House , Rent,444,Sqyd House ,Sqyd,House 
