,total_area,url,beds,baths,garage,location,date,Price_,A,B,C,D,E,F,G
668,1250 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1250-sqft-apartment-for-rent-308748,2,2,1,E-11 Islamabad,March 3 2022,45000,E-11 ,1250 Sqft Apartment , Rent,1250,Sqft Apartment ,Sqft,Apartment 
669,1700 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1700-sqft-apartment-for-rent-314928,4,4,1,E-11 Islamabad,March 3 2022,70000,E-11 ,1700 Sqft Apartment , Rent,1700,Sqft Apartment ,Sqft,Apartment 
670,750 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-750-sqft-apartment-for-rent-322705,1,1,1,E-11 Islamabad,March 3 2022,55000,E-11 ,750 Sqft Apartment , Rent,750,Sqft Apartment ,Sqft,Apartment 
671,900 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-900-sqft-apartment-for-rent-321556,2,2,1,E-11 Islamabad,March 3 2022,75000,E-11 ,900 Sqft Apartment , Rent,900,Sqft Apartment ,Sqft,Apartment 
672,1700 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1700-sqft-apartment-for-rent-315366,4,3,1,E-11 Islamabad,March 3 2022,70000,E-11 ,1700 Sqft Apartment , Rent,1700,Sqft Apartment ,Sqft,Apartment 
673,600 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-600-sqft-apartment-for-rent-329627,1,1,1,E-11 Islamabad,March 3 2022,35000,E-11 ,600 Sqft Apartment , Rent,600,Sqft Apartment ,Sqft,Apartment 
674,1300 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1300-sqft-apartment-for-rent-337899,2,2,1,E-11 Islamabad,March 3 2022,52000,E-11 ,1300 Sqft Apartment , Rent,1300,Sqft Apartment ,Sqft,Apartment 
675,600 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-600-sqft-apartment-for-rent-337880,1,1,1,E-11 Islamabad,March 3 2022,36000,E-11 ,600 Sqft Apartment , Rent,600,Sqft Apartment ,Sqft,Apartment 
676,1700 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1700-sqft-apartment-for-rent-315364,4,4,1,E-11 Islamabad,March 3 2022,70000,E-11 ,1700 Sqft Apartment , Rent,1700,Sqft Apartment ,Sqft,Apartment 
677,1400 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1400-sqft-apartment-for-rent-339515,2,2,1,E-11 Islamabad,March 3 2022,45000,E-11 ,1400 Sqft Apartment , Rent,1400,Sqft Apartment ,Sqft,Apartment 
678,1300 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1300-sqft-apartment-for-rent-344998,2,2,1,E-11 Islamabad,March 3 2022,50000,E-11 ,1300 Sqft Apartment , Rent,1300,Sqft Apartment ,Sqft,Apartment 
679,House for Rent,https://www.graana.com/property/islamabad-f-10-500-sqyd-house-for-rent-277059,5,5,2,F-10 Islamabad,March 3 2022,250000,F-10 ,House , Rent,House,,,
680,1900 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1900-sqft-apartment-for-rent-347504,3,3,1,E-11 Islamabad,March 3 2022,60000,E-11 ,1900 Sqft Apartment , Rent,1900,Sqft Apartment ,Sqft,Apartment 
681,House for Rent,https://www.graana.com/property/islamabad-f-10-500-sqyd-house-for-rent-276913,3,3,2,F-10 Islamabad,March 3 2022,120000,F-10 ,House , Rent,House,,,
682,House for Rent,https://www.graana.com/property/islamabad-f-10-500-sqyd-house-for-rent-276600,5,5,4,F-10 Islamabad,March 3 2022,190000,F-10 ,House , Rent,House,,,
683,House for Rent,https://www.graana.com/property/islamabad-f-10-1066-sqyd-house-for-rent-281670,6,6,6,F-10 Islamabad,March 3 2022,350000,F-10 ,House , Rent,House,,,
684,1400 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-1400-sqft-apartment-for-rent-362103,2,2,1,E-11/4 Islamabad,March 3 2022,55000,E-11/4 ,1400 Sqft Apartment , Rent,1400,Sqft Apartment ,Sqft,Apartment 
685,650 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-2-650-sqft-apartment-for-rent-362876,2,2,1,E-11/2 Islamabad,March 3 2022,33000,E-11/2 ,650 Sqft Apartment , Rent,650,Sqft Apartment ,Sqft,Apartment 
686,750 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1-750-sqft-apartment-for-rent-370352,2,2,1,E-11/1 Islamabad,March 3 2022,38000,E-11/1 ,750 Sqft Apartment , Rent,750,Sqft Apartment ,Sqft,Apartment 
687,750 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1-750-sqft-apartment-for-rent-376866,2,2,1,E-11/1 Islamabad,March 3 2022,38000,E-11/1 ,750 Sqft Apartment , Rent,750,Sqft Apartment ,Sqft,Apartment 
688,House for Rent,https://www.graana.com/property/islamabad-f-10-500-sqyd-house-for-rent-281618,5,5,4,F-10 Islamabad,March 3 2022,200000,F-10 ,House , Rent,House,,,
689,950 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-950-sqft-apartment-for-rent-585144,2,2,1,E-11/4 Islamabad,March 16 2022,90000,E-11/4 ,950 Sqft Apartment , Rent,950,Sqft Apartment ,Sqft,Apartment 
690,1000 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1000-sqft-apartment-for-rent-378650,2,2,1,E-11 Islamabad,March 3 2022,50000,E-11 ,1000 Sqft Apartment , Rent,1000,Sqft Apartment ,Sqft,Apartment 
691,1400 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1400-sqft-apartment-for-rent-378639,2,2,1,E-11 Islamabad,March 3 2022,50000,E-11 ,1400 Sqft Apartment , Rent,1400,Sqft Apartment ,Sqft,Apartment 
692,House for Rent,https://www.graana.com/property/islamabad-f-10-511-sqyd-house-for-rent-282083,5,6,3,F-10 Islamabad,March 3 2022,190000,F-10 ,House , Rent,House,,,
693,House for Rent,https://www.graana.com/property/islamabad-f-10-511-sqyd-house-for-rent-295847,6,6,3,F-10 Islamabad,March 3 2022,300000,F-10 ,House , Rent,House,,,
694,1400 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-1400-sqft-apartment-for-rent-377984,2,2,1,E-11/4 Islamabad,March 3 2022,50000,E-11/4 ,1400 Sqft Apartment , Rent,1400,Sqft Apartment ,Sqft,Apartment 
695,House for Rent,https://www.graana.com/property/islamabad-f-11-400-sqyd-house-for-rent-274314,3,4,1,F-11 Islamabad,March 3 2022,75000,F-11 ,House , Rent,House,,,
696,1600 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-1600-sqft-apartment-for-rent-381224,3,3,1,E-11/4 Islamabad,March 3 2022,45000,E-11/4 ,1600 Sqft Apartment , Rent,1600,Sqft Apartment ,Sqft,Apartment 
697,House for Rent,https://www.graana.com/property/islamabad-f-11-4-1-kanal-house-for-rent-130742,3,3,1,F-11/4 Islamabad,March 3 2022,75000,F-11/4 ,House , Rent,House,,,
698,900 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-900-sqft-apartment-for-rent-385748,1,1,1,E-11/4 Islamabad,March 3 2022,25000,E-11/4 ,900 Sqft Apartment , Rent,900,Sqft Apartment ,Sqft,Apartment 
699,House for Rent,https://www.graana.com/property/islamabad-f-11-4-1-kanal-house-for-rent-130740,3,3,1,F-11/4 Islamabad,March 3 2022,114999,F-11/4 ,House , Rent,House,,,
700,House for Rent,https://www.graana.com/property/islamabad-f-11-3-1-kanal-house-for-rent-130739,3,4,1,F-11/3 Islamabad,March 3 2022,95000,F-11/3 ,House , Rent,House,,,
701,1175 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-1175-sqft-apartment-for-rent-387045,2,2,1,E-11/4 Islamabad,March 3 2022,30000,E-11/4 ,1175 Sqft Apartment , Rent,1175,Sqft Apartment ,Sqft,Apartment 
702,House for Rent,https://www.graana.com/property/islamabad-f-11-4-1-kanal-house-for-rent-130738,3,3,1,F-11/4 Islamabad,March 3 2022,70000,F-11/4 ,House , Rent,House,,,
703,800 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-800-sqft-apartment-for-rent-394429,2,2,1,E-11/4 Islamabad,March 3 2022,80000,E-11/4 ,800 Sqft Apartment , Rent,800,Sqft Apartment ,Sqft,Apartment 
704,House for Rent,https://www.graana.com/property/islamabad-f-11-2-16-marla-house-for-rent-138463,3,3,1,F-11/2 Islamabad,March 3 2022,86000,F-11/2 ,House , Rent,House,,,
705,1400 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-1400-sqft-apartment-for-rent-395182,2,2,1,E-11/4 Islamabad,March 3 2022,50000,E-11/4 ,1400 Sqft Apartment , Rent,1400,Sqft Apartment ,Sqft,Apartment 
706,House for Rent,https://www.graana.com/property/islamabad-f-11-2-16-marla-house-for-rent-138459,4,4,1,F-11/2 Islamabad,March 3 2022,172000,F-11/2 ,House , Rent,House,,,
707,700 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-700-sqft-apartment-for-rent-415455,1,1,1,E-11/4 Islamabad,March 3 2022,35000,E-11/4 ,700 Sqft Apartment , Rent,700,Sqft Apartment ,Sqft,Apartment 
708,House for Rent,https://www.graana.com/property/islamabad-f-11-1-kanal-house-for-rent-388071,3,3,0,F-11 Islamabad,March 3 2022,150000,F-11 ,House , Rent,House,,,
709,3700 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-3700-sqft-apartment-for-rent-420749,4,4,1,E-11/4 Islamabad,March 3 2022,105000,E-11/4 ,3700 Sqft Apartment , Rent,3700,Sqft Apartment ,Sqft,Apartment 
710,House for Rent,https://www.graana.com/property/islamabad-f-11-650-sqyd-house-for-rent-396180,8,8,0,F-11 Islamabad,March 3 2022,500000,F-11 ,House , Rent,House,,,
711,450 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-2-450-sqft-apartment-for-rent-443704,2,2,1,E-11/2 Islamabad,March 3 2022,35000,E-11/2 ,450 Sqft Apartment , Rent,450,Sqft Apartment ,Sqft,Apartment 
712,600 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-2-600-sqft-apartment-for-rent-461858,1,1,1,E-11/2 Islamabad,March 3 2022,48000,E-11/2 ,600 Sqft Apartment , Rent,600,Sqft Apartment ,Sqft,Apartment 
713,House for Rent,https://www.graana.com/property/islamabad-f-11-3-10-marla-house-for-rent-405083,5,5,0,F-11/3 Islamabad,March 3 2022,150000,F-11/3 ,House , Rent,House,,,
714,900 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-900-sqft-apartment-for-rent-463841,3,3,1,E-11 Islamabad,March 3 2022,90000,E-11 ,900 Sqft Apartment , Rent,900,Sqft Apartment ,Sqft,Apartment 
715,House for Rent,https://www.graana.com/property/islamabad-f-11-4-1-kanal-house-for-rent-402970,5,5,6,F-11/4 Islamabad,March 3 2022,190000,F-11/4 ,House , Rent,House,,,
716,650 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-650-sqft-apartment-for-rent-465496,1,1,1,E-11 Islamabad,March 3 2022,35000,E-11 ,650 Sqft Apartment , Rent,650,Sqft Apartment ,Sqft,Apartment 
717,House for Rent,https://www.graana.com/property/islamabad-f-11-666-sqyd-house-for-rent-428810,6,6,0,F-11 Islamabad,March 3 2022,260000,F-11 ,House , Rent,House,,,
718,850 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-850-sqft-apartment-for-rent-465498,2,2,1,E-11 Islamabad,March 3 2022,60000,E-11 ,850 Sqft Apartment , Rent,850,Sqft Apartment ,Sqft,Apartment 
719,1200 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1200-sqft-apartment-for-rent-465973,2,2,1,E-11 Islamabad,March 3 2022,90000,E-11 ,1200 Sqft Apartment , Rent,1200,Sqft Apartment ,Sqft,Apartment 
720,500 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-2-500-sqft-apartment-for-rent-467191,1,1,1,E-11/2 Islamabad,March 3 2022,45000,E-11/2 ,500 Sqft Apartment , Rent,500,Sqft Apartment ,Sqft,Apartment 
721,600 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-600-sqft-apartment-for-rent-467804,1,1,1,E-11 Islamabad,March 3 2022,90000,E-11 ,600 Sqft Apartment , Rent,600,Sqft Apartment ,Sqft,Apartment 
722,750 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-750-sqft-apartment-for-rent-467443,1,1,1,E-11 Islamabad,March 3 2022,50000,E-11 ,750 Sqft Apartment , Rent,750,Sqft Apartment ,Sqft,Apartment 
723,450 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-450-sqft-apartment-for-rent-473258,1,1,1,E-11 Islamabad,March 3 2022,80000,E-11 ,450 Sqft Apartment , Rent,450,Sqft Apartment ,Sqft,Apartment 
724,500 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-500-sqft-apartment-for-rent-462195,3,3,2,E-11 Islamabad,March 3 2022,35000,E-11 ,500 Sqft Apartment , Rent,500,Sqft Apartment ,Sqft,Apartment 
725,800 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-800-sqft-apartment-for-rent-419286,2,2,1,E-11/4 Islamabad,March 3 2022,60000,E-11/4 ,800 Sqft Apartment , Rent,800,Sqft Apartment ,Sqft,Apartment 
726,1200 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-1200-sqft-apartment-for-rent-419292,3,3,1,E-11/4 Islamabad,March 3 2022,40000,E-11/4 ,1200 Sqft Apartment , Rent,1200,Sqft Apartment ,Sqft,Apartment 
727,850 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-2-850-sqft-apartment-for-rent-419304,2,2,1,E-11/2 Islamabad,March 3 2022,45000,E-11/2 ,850 Sqft Apartment , Rent,850,Sqft Apartment ,Sqft,Apartment 
728,1200 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-1200-sqft-apartment-for-rent-420837,2,2,1,E-11/4 Islamabad,March 3 2022,50000,E-11/4 ,1200 Sqft Apartment , Rent,1200,Sqft Apartment ,Sqft,Apartment 
729,1000 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-1000-sqft-apartment-for-rent-420839,2,2,1,E-11/4 Islamabad,March 3 2022,50000,E-11/4 ,1000 Sqft Apartment , Rent,1000,Sqft Apartment ,Sqft,Apartment 
730,650 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-650-sqft-apartment-for-rent-426111,1,1,1,E-11/4 Islamabad,March 3 2022,40000,E-11/4 ,650 Sqft Apartment , Rent,650,Sqft Apartment ,Sqft,Apartment 
731,850 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-850-sqft-apartment-for-rent-426116,1,1,1,E-11 Islamabad,March 3 2022,40000,E-11 ,850 Sqft Apartment , Rent,850,Sqft Apartment ,Sqft,Apartment 
732,950 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-950-sqft-apartment-for-rent-426577,2,2,1,E-11 Islamabad,March 3 2022,65000,E-11 ,950 Sqft Apartment , Rent,950,Sqft Apartment ,Sqft,Apartment 
733,1400 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-1400-sqft-apartment-for-rent-427583,2,3,1,E-11/4 Islamabad,March 3 2022,80000,E-11/4 ,1400 Sqft Apartment , Rent,1400,Sqft Apartment ,Sqft,Apartment 
734,850 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-850-sqft-apartment-for-rent-432008,1,1,1,E-11 Islamabad,March 3 2022,55000,E-11 ,850 Sqft Apartment , Rent,850,Sqft Apartment ,Sqft,Apartment 
735,1150 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-1150-sqft-apartment-for-rent-477635,3,3,1,E-11/4 Islamabad,March 3 2022,48000,E-11/4 ,1150 Sqft Apartment , Rent,1150,Sqft Apartment ,Sqft,Apartment 
736,225 Sqft Room for Rent,https://www.graana.com/property/islamabad-g-9-4-225-sqft-room-for-rent-576378,1,1,1,G-9/4 Islamabad,March 3 2022,45000,G-9/4 ,225 Sqft Room , Rent,225,Sqft Room ,Sqft,Room 
737,1000 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-1000-sqyd-house-for-rent-576179,5,5,5,F-7 Islamabad,March 3 2022,600000,F-7 ,1000 Sqyd House , Rent,1000,Sqyd House ,Sqyd,House 
738,1000 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-8-1000-sqyd-house-for-rent-575816,4,5,7,F-8 Islamabad,March 3 2022,550000,F-8 ,1000 Sqyd House , Rent,1000,Sqyd House ,Sqyd,House 
739,1000 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-8-1000-sqyd-house-for-rent-575815,6,7,7,F-8 Islamabad,March 3 2022,600000,F-8 ,1000 Sqyd House , Rent,1000,Sqyd House ,Sqyd,House 
740,500 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-6-500-sqyd-house-for-rent-575813,5,5,2,F-6 Islamabad,March 3 2022,800000,F-6 ,500 Sqyd House , Rent,500,Sqyd House ,Sqyd,House 
741,3 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-kiyani-town-lehtrar-road-islamabad-3-marla-upper-portion-for-rent-575856,1,1,0,Kiyani Town Lehtrar Road Islamabad Islamabad,March 3 2022,12000,Kiyani Town Lehtrar Road ,3 Marla Upper Portion , Rent,3,Marla Upper Portion ,Marla,Upper Portion 
742,500 Sqyd Upper Portion for Rent,https://www.graana.com/property/islamabad-f-7-500-sqyd-upper-portion-for-rent-468340,3,4,2,F-7 Islamabad,March 3 2022,225000,F-7 ,500 Sqyd Upper Portion , Rent,500,Sqyd Upper Portion ,Sqyd,Upper Portion 
743,1000 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-1000-sqyd-house-for-rent-468335,4,5,8,F-7 Islamabad,March 3 2022,600000,F-7 ,1000 Sqyd House , Rent,1000,Sqyd House ,Sqyd,House 
744,1000 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-1000-sqyd-house-for-rent-468329,6,7,2,F-7 Islamabad,March 3 2022,1500000,F-7 ,1000 Sqyd House , Rent,1000,Sqyd House ,Sqyd,House 
745,1066 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-8-1066-sqyd-house-for-rent-468181,10,11,6,F-8 Islamabad,March 3 2022,1200000,F-8 ,1066 Sqyd House , Rent,1066,Sqyd House ,Sqyd,House 
746,760 SqFt Apartment for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-6-760-sqft-apartment-for-rent-575748,2,2,0,Bahria Town Phase 6 Islamabad,March 2 2022,35000,Bahria Town Phase 6 ,760 SqFt Apartment , Rent,760,SqFt Apartment ,SqFt,Apartment 
747,2 Kanal House for Rent,https://www.graana.com/property/islamabad-emaar-canyon-views-2-kanal-house-for-rent-572206,5,6,3,Emaar Canyon Views Islamabad,March 2 2022,500000,Emaar Canyon Views ,2 Kanal House , Rent,2,Kanal House ,Kanal,House 
748,1000 Sq. Yd. House for Rent,https://www.graana.com/property/islamabad-f-8-1000-sqyd-house-for-rent-414961,10,10,6,F-8 Islamabad,March 2 2022,900000,F-8 ,1000 Sq. Yd. House , Rent,1000,Sq. Yd. House ,Sq.,Yd. House 
749,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-upper-portion-for-rent-505312,3,4,1,G-13 Islamabad,March 2 2022,80000,G-13 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
750,1000 Sqyd Upper Portion for Rent,https://www.graana.com/property/islamabad-f-8-1000-sqyd-upper-portion-for-rent-505317,3,4,4,F-8 Islamabad,March 2 2022,250000,F-8 ,1000 Sqyd Upper Portion , Rent,1000,Sqyd Upper Portion ,Sqyd,Upper Portion 
751,666 Sq. Yd. Upper Portion for Rent,https://www.graana.com/property/islamabad-f-7-666-sqyd-upper-portion-for-rent-535094,3,3,3,F-7 Islamabad,March 2 2022,229999,F-7 ,666 Sq. Yd. Upper Portion , Rent,666,Sq. Yd. Upper Portion ,Sq.,Yd. Upper Portion 
752,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-upper-portion-for-rent-534448,3,3,2,G-13 Islamabad,March 2 2022,60000,G-13 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
753,House for Rent,https://www.graana.com/property/islamabad-bani-gala-7-marla-house-for-rent-464887,2,2,1,Bani Gala Islamabad,March 2 2022,25000,Bani Gala ,House , Rent,House,,,
754,House for Rent,https://www.graana.com/property/islamabad-bani-gala-8-marla-house-for-rent-468002,9,9,1,Bani Gala Islamabad,March 2 2022,60000,Bani Gala ,House , Rent,House,,,
755,House for Rent,https://www.graana.com/property/islamabad-bani-gala-10-marla-house-for-rent-461578,5,5,2,Bani Gala Islamabad,March 2 2022,70000,Bani Gala ,House , Rent,House,,,
756,House for Rent,https://www.graana.com/property/islamabad-bani-gala-10-marla-house-for-rent-462363,5,5,2,Bani Gala Islamabad,March 2 2022,65000,Bani Gala ,House , Rent,House,,,
757,House for Rent,https://www.graana.com/property/islamabad-bani-gala-5-marla-house-for-rent-460330,4,4,1,Bani Gala Islamabad,March 2 2022,30000,Bani Gala ,House , Rent,House,,,
758,House for Rent,https://www.graana.com/property/islamabad-bani-gala-5-marla-house-for-rent-461579,2,2,1,Bani Gala Islamabad,March 2 2022,20000,Bani Gala ,House , Rent,House,,,
759,House for Rent,https://www.graana.com/property/islamabad-bahria-enclave-10-marla-house-for-rent-451427,6,6,2,Bahria Enclave Islamabad,March 2 2022,160000,Bahria Enclave ,House , Rent,House,,,
760,House for Rent,https://www.graana.com/property/islamabad-bahria-enclave-15-marla-house-for-rent-341821,4,4,0,Bahria Enclave Islamabad,March 2 2022,114999,Bahria Enclave ,House , Rent,House,,,
761,House for Rent,https://www.graana.com/property/islamabad-bahria-enclave-8-marla-house-for-rent-459098,4,4,1,Bahria Enclave Islamabad,March 2 2022,90000,Bahria Enclave ,House , Rent,House,,,
762,House for Rent,https://www.graana.com/property/islamabad-bahria-enclave-6-marla-house-for-rent-475535,3,3,2,Bahria Enclave Islamabad,March 2 2022,95000,Bahria Enclave ,House , Rent,House,,,
763,1000 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-1-1000-sqyd-house-for-rent-575392,7,7,2,F-7/1 Islamabad,March 2 2022,1100000,F-7/1 ,1000 Sqyd House , Rent,1000,Sqyd House ,Sqyd,House 
764,2000 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-4-2000-sqyd-house-for-rent-575396,9,9,0,F-7/4 Islamabad,March 2 2022,1200000,F-7/4 ,2000 Sqyd House , Rent,2000,Sqyd House ,Sqyd,House 
765,1800 sqft Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-1800-sqft-lower-portion-for-rent-466225,2,2,1,G-13 Islamabad,March 2 2022,50000,G-13 ,1800 sqft Lower Portion , Rent,1800,sqft Lower Portion ,sqft,Lower Portion 
766,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-upper-portion-for-rent-463671,2,2,1,G-13 Islamabad,March 2 2022,75,G-13 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
767,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-upper-portion-for-rent-465321,4,4,1,G-13 Islamabad,March 2 2022,60000,G-13 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
768,12 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-12-marla-upper-portion-for-rent-468589,5,5,1,G-13 Islamabad,March 2 2022,75000,G-13 ,12 Marla Upper Portion , Rent,12,Marla Upper Portion ,Marla,Upper Portion 
769,8 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-8-marla-upper-portion-for-rent-470199,3,3,1,G-13 Islamabad,March 2 2022,42000,G-13 ,8 Marla Upper Portion , Rent,8,Marla Upper Portion ,Marla,Upper Portion 
770,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-upper-portion-for-rent-473702,2,3,1,G-13 Islamabad,March 2 2022,70000,G-13 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
771,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-upper-portion-for-rent-477224,3,3,1,G-13 Islamabad,March 2 2022,90000,G-13 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
772,14 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-3-14-marla-upper-portion-for-rent-477614,3,3,1,G-13/3 Islamabad,March 2 2022,70000,G-13/3 ,14 Marla Upper Portion , Rent,14,Marla Upper Portion ,Marla,Upper Portion 
773,7 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-7-marla-house-for-rent-293301,7,7,1,G-13 Islamabad,March 2 2022,90000,G-13 ,7 Marla House , Rent,7,Marla House ,Marla,House 
774,House for Rent,https://www.graana.com/property/islamabad-g-13-markaz-10-marla-house-for-rent-308420,0,0,0,G-13 Markaz Islamabad,March 2 2022,140000,G-13 Markaz ,House , Rent,House,,,
775,10 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-house-for-rent-313393,4,4,1,G-13 Islamabad,March 2 2022,100000,G-13 ,10 Marla House , Rent,10,Marla House ,Marla,House 
776,6.6 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-1800-sqft-house-for-rent-322661,4,6,1,G-13 Islamabad,March 2 2022,90000,G-13 ,6.6 Marla House , Rent,6.6,Marla House ,Marla,House 
777,7 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-7-marla-house-for-rent-322609,4,5,1,G-13 Islamabad,March 2 2022,85000,G-13 ,7 Marla House , Rent,7,Marla House ,Marla,House 
778,7 Marla Lower for Rent,https://www.graana.com/property/islamabad-g-13-7-marla-lower-portion-for-rent-329489,2,2,1,G-13 Islamabad,March 2 2022,50000,G-13 ,7 Marla Lower , Rent,7,Marla Lower ,Marla,Lower 
779,8 Marla House for Rent,https://www.graana.com/property/islamabad-g-8-1-8-marla-house-for-rent-581712,10,9,1,G-8/1 Islamabad,March 11 2022,400000,G-8/1 ,8 Marla House , Rent,8,Marla House ,Marla,House 
780,10 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-house-for-rent-340633,2,2,1,G-13 Islamabad,March 2 2022,50000,G-13 ,10 Marla House , Rent,10,Marla House ,Marla,House 
781,1000 Sqft House for Rent,https://www.graana.com/property/islamabad-g-13-1-1000-sqft-house-for-rent-364594,5,7,2,G-13/1 Islamabad,March 2 2022,70000,G-13/1 ,1000 Sqft House , Rent,1000,Sqft House ,Sqft,House 
782,9 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-1-9-marla-house-for-rent-367230,6,6,3,G-13/1 Islamabad,March 2 2022,80000,G-13/1 ,9 Marla House , Rent,9,Marla House ,Marla,House 
783,1000 Sqft House for Rent,https://www.graana.com/property/islamabad-g-13-1000-sqft-house-for-rent-375254,4,4,1,G-13 Islamabad,March 2 2022,50000,G-13 ,1000 Sqft House , Rent,1000,Sqft House ,Sqft,House 
784,500 Sqyd House for Rent,https://www.graana.com/property/islamabad-g-13-4-500-sqyd-house-for-rent-463103,10,11,4,G-13/4 Islamabad,March 2 2022,360000,G-13/4 ,500 Sqyd House , Rent,500,Sqyd House ,Sqyd,House 
